movieId,title,genres,average_rating
221388,Mother,Drama|Thriller,5.0
148687,Led Zeppelin: Celebration Day,Documentary,5.0
113795,"Blast, A",Drama|Thriller,5.0
246422,Three Sisters with Maiden Hearts,Drama,5.0
140745,10 Attitudes,Comedy|Drama|Romance,5.0
85362,Herb & Dorothy,Documentary,5.0
135208,Drool,Comedy|Drama,5.0
4269,Rat,Comedy|Drama|Romance,5.0
190881,The Boss,Documentary,5.0
87330,"Target Shoots First, The",Comedy|Drama,5.0
223536,"Untitled (Burned Rubber on Asphalt, 2018)",Documentary,5.0
152986,Bose: The Forgotten Hero,Action|Drama,5.0
197249,Barça Dreams,Documentary,5.0
259021,Kipchoge: The Last Milestone,Documentary,5.0
272621,Promise of Pisa,Drama,5.0
298181,Paradise Is Burning,Drama,5.0
268438,Paul McCartney: Back in the U.S.,Documentary,5.0
232459,Funny Boy,Drama,5.0
286465,Qorin,Horror,5.0
297781,Pignorant,Documentary,5.0
299055,Summertime Switch,Children|Comedy,5.0
239150,The Snow Flurry,Drama,5.0
216611,American Circumcision,Documentary,5.0
178845,The Lost City of Cecil B. DeMille,Documentary,5.0
277540,Wolf,Action|Drama,4.833333333333333
272515,CALL TV,Comedy|Crime|Mystery|Thriller,4.75
235675,Grain,Drama|Sci-Fi,4.5
174743,Eat Local,Action|Comedy|Horror,4.5
228125,Weirdos,Children|Drama,4.5
248922,Everything Is a Remix,Documentary,4.5
195875,Ex-Shaman,Documentary,4.5
211458,Adolescence,Drama|Romance,4.5
296405,Ang Pangarap Kong Holdap,Comedy|Crime,4.5
292273,The Death of Yugoslavia,Documentary,4.5
168800,Zhongkui: Snow Girl and the Dark Crystal,Action|Fantasy|Romance,4.5
298829,Stress Positions,Comedy,4.5
180875,A Room and a Half,Drama,4.5
146632,Aayitha Ezhuthu,Action|Drama|Romance,4.5
293453,And the Spring Comes,Drama,4.5
222151,Le syndrome du Titanic,Documentary,4.5
247114,Sertânia,Drama|Western,4.5
280092,Scum,Drama,4.5
248402,Sustainable,Documentary,4.5
263083,Under the Volcano,Documentary,4.5
185751,40,Action|Drama,4.5
282241,The Giant of Thunder Mountain,Children|Drama|Western,4.5
150050,Kid,Drama,4.5
238570,R.I.A.,Adventure|Sci-Fi|Thriller,4.5
267334,The Marriage Escape,Comedy|Drama,4.5
27528,"Warrior, The",Adventure|Drama,4.4
287229,The Starling Girl,Drama,4.4
217085,Little Miss Sumo,Documentary,4.375
299033,The Greatest Hits,Drama|Romance,4.333333333333333
206721,Oblivion Verses,Drama,4.25
280208,The Invisible,Drama|Fantasy|Thriller,4.25
195765,Clinch,Drama,4.25
237231,Tenderness,Comedy,4.25
135541,Noodle,Drama,4.25
259505,6 Weeks to Mother's Day,Documentary,4.25
164538,Lost in Munich,Comedy|Documentary|Drama,4.25
247338,Janine,Documentary,4.25
